candidate_id,query_id,ndcg@5,mrr@5,hitrate@5
gte_full,1,0.5748153924942017,1.0,1.0
gte_full,2,0.874798595905304,1.0,1.0
gte_full,3,0.7982340455055237,1.0,1.0
gte_full,4,0.5592645406723022,0.5,1.0
gte_full,5,0.8304198980331421,1.0,1.0
gte_full,6,0.25531861186027527,0.20000000298023224,1.0
gte_full,7,0.2424028515815735,0.5,1.0
gte_full,8,0.5870134234428406,1.0,1.0
gte_full,9,0.8281227350234985,1.0,1.0
gte_full,10,0.6712288856506348,1.0,1.0
gte_full,11,0.5404464602470398,0.5,1.0
gte_full,12,0.6454174518585205,1.0,1.0
gte_full,13,0.7436487674713135,1.0,1.0
gte_full,14,0.9165323972702026,1.0,1.0
gte_full,15,0.8539316058158875,0.0,0.0
gte_full,16,0.7167903184890747,1.0,1.0
gte_full,17,0.9165323972702026,1.0,1.0
gte_full,18,0.6452034711837769,1.0,1.0
gte_full,19,0.09910675138235092,0.0,0.0
gte_full,20,0.8061941862106323,1.0,1.0
gte_full,21,0.9165323972702026,1.0,1.0
gte_full,22,0.8061941862106323,1.0,1.0
gte_full,23,0.6968100666999817,1.0,1.0
gte_full,24,0.7469522953033447,1.0,1.0
gte_full,25,0.8678114414215088,1.0,1.0
gte_full,26,0.7827344536781311,1.0,1.0
gte_full,27,0.7329663038253784,1.0,1.0
gte_full,28,0.8027478456497192,1.0,1.0
gte_full,29,0.887538492679596,1.0,1.0
gte_full,30,0.5293108820915222,1.0,1.0
gte_full,31,1.0,0.0,0.0
gte_full,32,0.9489773511886597,1.0,1.0
gte_full,33,1.0,1.0,1.0
gte_full,34,0.5357921123504639,1.0,1.0
gte_full,35,0.5891793370246887,0.5,1.0
gte_full,36,0.8281227350234985,1.0,1.0
gte_full,37,0.8061941862106323,1.0,1.0
gte_full,38,0.8165832161903381,1.0,1.0
gte_full,39,0.8678114414215088,1.0,1.0
gte_full,40,0.8415580987930298,1.0,1.0
gte_full,41,1.0,1.0,1.0
gte_full,42,0.7356467247009277,1.0,1.0
gte_full,43,0.6295697689056396,1.0,1.0
gte_full,44,0.5418556928634644,0.25,1.0
gte_full,45,1.0,1.0,1.0
gte_full,46,0.6455066800117493,0.5,1.0
gte_full,47,1.0,0.0,0.0
gte_full,48,1.0,1.0,1.0
e5_maxp,1,0.6975317001342773,1.0,1.0
e5_maxp,2,0.9250257015228271,1.0,1.0
e5_maxp,3,0.33203020691871643,0.20000000298023224,1.0
e5_maxp,4,0.46914395689964294,0.5,1.0
e5_maxp,5,0.729444146156311,1.0,1.0
e5_maxp,6,0.5639369487762451,0.5,1.0
e5_maxp,7,0.8387358784675598,1.0,1.0
e5_maxp,8,0.780819296836853,1.0,1.0
e5_maxp,9,0.7312198877334595,1.0,1.0
e5_maxp,10,0.7416089773178101,1.0,1.0
e5_maxp,11,0.8692416548728943,1.0,1.0
e5_maxp,12,0.530952513217926,1.0,1.0
e5_maxp,13,0.40209484100341797,1.0,1.0
e5_maxp,14,0.9165323972702026,1.0,1.0
e5_maxp,15,1.0,0.0,0.0
e5_maxp,16,0.6582974195480347,1.0,1.0
e5_maxp,17,0.8415580987930298,1.0,1.0
e5_maxp,18,0.3944852650165558,0.5,1.0
e5_maxp,19,0.3294934928417206,0.0,0.0
e5_maxp,20,0.8415580987930298,1.0,1.0
e5_maxp,21,1.0,1.0,1.0
e5_maxp,22,0.5870134234428406,1.0,1.0
e5_maxp,23,0.6241688132286072,1.0,1.0
e5_maxp,24,0.9165323972702026,1.0,1.0
e5_maxp,25,0.6146112680435181,1.0,1.0
e5_maxp,26,0.5407758951187134,1.0,1.0
e5_maxp,27,0.568732500076294,1.0,1.0
e5_maxp,28,1.0,1.0,1.0
e5_maxp,29,0.8165832161903381,1.0,1.0
e5_maxp,30,0.7087527513504028,0.5,1.0
e5_maxp,31,0.6608397960662842,0.0,0.0
e5_maxp,32,0.4991494417190552,0.25,1.0
e5_maxp,33,1.0,1.0,1.0
e5_maxp,34,0.8286435008049011,1.0,1.0
e5_maxp,35,0.29822951555252075,0.25,1.0
e5_maxp,36,0.5023978352546692,1.0,1.0
e5_maxp,37,0.874798595905304,1.0,1.0
e5_maxp,38,0.3805201053619385,0.25,1.0
e5_maxp,39,0.6969601511955261,1.0,1.0
e5_maxp,40,0.49757587909698486,1.0,1.0
e5_maxp,41,1.0,1.0,1.0
e5_maxp,42,0.38935431838035583,0.5,1.0
e5_maxp,43,0.28767046332359314,0.20000000298023224,1.0
e5_maxp,44,0.6397958397865295,0.3333333432674408,1.0
e5_maxp,45,1.0,1.0,1.0
e5_maxp,46,0.736954927444458,1.0,1.0
e5_maxp,47,1.0,0.0,0.0
e5_maxp,48,1.0,1.0,1.0
e5_meanchunks,1,0.6975317001342773,1.0,1.0
e5_meanchunks,2,0.9250257015228271,1.0,1.0
e5_meanchunks,3,0.3177078366279602,0.3333333432674408,1.0
e5_meanchunks,4,0.519485592842102,0.5,1.0
e5_meanchunks,5,0.8546456098556519,1.0,1.0
e5_meanchunks,6,0.5639369487762451,0.5,1.0
e5_meanchunks,7,0.6364840865135193,1.0,1.0
e5_meanchunks,8,0.9165323972702026,1.0,1.0
e5_meanchunks,9,0.722726583480835,1.0,1.0
e5_meanchunks,10,0.887538492679596,1.0,1.0
e5_meanchunks,11,0.6969601511955261,1.0,1.0
e5_meanchunks,12,0.4898206889629364,0.5,1.0
e5_meanchunks,13,0.563896894454956,1.0,1.0
e5_meanchunks,14,0.9030970931053162,1.0,1.0
e5_meanchunks,15,1.0,0.0,0.0
e5_meanchunks,16,0.463307648897171,1.0,1.0
e5_meanchunks,17,0.8281227350234985,1.0,1.0
e5_meanchunks,18,0.44878342747688293,0.5,1.0
e5_meanchunks,19,0.588880717754364,0.20000000298023224,1.0
e5_meanchunks,20,0.9165323972702026,1.0,1.0
e5_meanchunks,21,0.8546456098556519,1.0,1.0
e5_meanchunks,22,0.5035457611083984,1.0,1.0
e5_meanchunks,23,0.6249406933784485,1.0,1.0
